item,itemLabel,position,positionLabel,start,psid
Q108443113,Mohamed Aslam,Q109756178,"Minister of National Planning, Housing and Infrastructure",2018-11-17,Q108443113-5A62D3E6-A646-419B-99E5-1DB5513E1DB4
Q109756059,Sheikh Imran Abdulla,Q108872163,Minister of Home Affairs,2018-12-02,Q109756059-4B0BB9AA-BC75-47D7-9498-6E3CE1905864
Q109756122,Ibrahim Riffath,Q4818661,Attorney General of the Maldives,2018-11-17,Q109756122-8D38F3E4-7E1E-49A1-9001-B0F87A949E72
Q109756246,Ibrahim Hassan,Q109756239,Minister of Higher Education,2018-11-17,Q109756246-E730DEBA-CEB7-4C5C-B858-6FDAF2E67650
Q109756274,Aishath Ali,Q109756275,Minister of Education,2018-11-17,Q109756274-14A6DC3C-6A6A-47F9-AA60-40B5B0BED313
Q109756386,Yumna Maumoon,Q109756388,"Minister of Arts, Culture and Heritage",2018-11-17,Q109756386-5077BEE1-4444-4320-81DD-08AD27A6EC4C
Q109756433,Fayyaz Ismail,Q109756435,Minister of Economic Development,2018-11-17,Q109756433-25648032-7948-4F35-AA50-FAEBE3B1033A
Q109756501,Aishath Mohamed Didi,Q109756503,"Minister of Gender, Family and Social Services",2020-02-01,Q109756501-8D8375A0-6BAF-434F-97C1-995B28C1A5E3
Q109756534,Abdulla Mausoom,Q109756537,Minister of Tourism,2018-11-17,Q109756534-8569F033-EAFD-4CF4-A073-CAE8BEC9B1C7
Q109756565,Ahmed Naseem,Q109756566,Minister of Health,2020-10-22,Q109756565-C833A40E-00A5-4B76-8933-D88ED4296600
Q109756571,Hussain Rasheed Hassan,Q109756572,"Minister of Fisheries, Marine Resources and Agriculture",2021-05-05,Q109756571-6BFE7538-1F22-4919-AA16-CACA715F1D28
Q16146747,Ahmed Mahloof,Q109756480,"Minister of Youth, Sports and Community Empowerment",2018-11-17,Q16146747-BFA63A6C-F413-4224-8990-3F1C90D70387
Q16156922,Ahmed Zahir,Q109756033,Minister of Islamic Affairs,2018-11-17,Q16156922-D6FBB33E-251D-433F-8820-C7A8B6D3E020
Q17517052,Mariya Ahmed Didi,Q108872206,Minister of Defence of the Maldives,2018-11-17,Q17517052-63AB7062-24BE-48B7-B782-1AD729D1857B
Q4665893,Abdulla Shahid,Q19901419,Minister of Foreign Affairs,2018-11-17,Q4665893-1E6E65CD-C8E5-45A4-83DF-D08F7FE74B6D
Q55614252,Ibrahim Mohamed Solih,Q1064606,President of the Maldives,2018-11-17,Q55614252-841371a6-4e27-cb54-7d4c-1f4bd18cab0c
Q57313656,Aishath Nahula,Q109756278,Minister of Transport and Civil Aviation,2020-02-01,Q57313656-DE24099D-EBF4-4EC6-A1DA-2FC4F9B8E7D9
Q59660221,Shauna Aminath,Q109756575,"Minister of Environment, Climate Change and Technology",2021-05-05,Q59660221-9FCAE54D-ACF1-4CCC-9003-A6FD512648F8
Q89875889,Ibrahim Ameer,Q108872117,Minister of Finance of the Maldives,2018-11-17,Q89875889-971AEFCC-A09E-42BC-B1F0-E457D81FD609
